Name;Level;ID_GPC;ID_PIM
Arte/artesanía/costura;Level 1;70000000;70000000
Artículos de arte/artesanía/costura;Level 2;70010000;70010000
Artículos de pintura con aerógrafo;Level 3;70010200;70010200
Aerógrafos (eléctricos);Level 4;10001686;10001686
Equipo de aerógrafos – Accesorios/recambios;Level 4;10001688;10001688
Otros artículos para aerógrafos;Level 4;10001690;10001690
Paquetes variados de artículos para aerógrafos;Level 4;10001689;10001689
Artículos de dibujo/pintura para artistas;Level 3;70010100;70010100
Accesorios para artistas;Level 4;10001682;10001682
Aplicadores/brochas de artistas;Level 4;10001674;10001674
Tableros preparados/lonas para artistas;Level 4;10001679;10001679
Tableros de dibujo de artistas;Level 4;10005372;10005372
Caballetes para artistas;Level 4;10001681;10001681
Agentes para superficies de pinturas para artistas;Level 4;10001678;10001678
Otros artículos de dibujo/pintura para artistas;Level 4;10001685;10001685
Paquetes variados de artículos de dibujo/pintura para artistas;Level 4;10001684;10001684
Tintes/pinturas para artistas;Level 4;10001676;10001676
Paletas para artistas;Level 4;10001680;10001680
Ceras/carboncillos/pasteles para artistas;Level 4;10001677;10001677
Artículos para arte con arena;Level 4;10001683;10001683
Paquetes variados de artesanía/artes;Level 3;70011300;70011300
Artículos para cestería;Level 3;70010600;70010600
Accesorios para cestería;Level 4;10001723;10001723
Materiales para cestería;Level 4;10001721;10001721
Otros artículos de cestería;Level 4;10001725;10001725
Paquetes variados de artículos de cestería;Level 4;10001724;10001724
Herramientas para cestería (no eléctricas);Level 4;10001722;10001722
Artículos para fabricar jabón/velas;Level 3;70010900;70010900
Materiales para trabajos con jabones/velas;Level 4;10001736;10001736
Moldes para trabajos con jabones/velas;Level 4;10001737;10001737
Otros artículos para trabajos con jabones/velas;Level 4;10001741;10001741
Paquetes variados de artículos para trabajos con jabones/velas;Level 4;10001740;10001740
Herrmientas para trabajos con jabones/velas (no eléctricas);Level 4;10001738;10001738
Herrmientas para trabajos con jabones/velas (eléctricas);Level 4;10001739;10001739
Artículos para marquetería/esmaltado/vidrio;Level 3;70010800;70010800
Herramientas para trabajos de cristalería (eléctricas);Level 4;10001732;10001732
Materiales de marquetería/esmaltado/cristalería;Level 4;10001731;10001731
Otros artículos de marquetería/esmaltado/cristalería;Level 4;10001735;10001735
Paquetes variados de artículos de marquetería/esmaltado/cristalería;Level 4;10001734;10001734
Artículos para joyería;Level 3;70010500;70010500
Accesorios para fabricar joyas;Level 4;10001718;10001718
Materiales para fabricar joyas;Level 4;10001717;10001717
Otros artículos para fabricar joyas;Level 4;10001720;10001720
Paquetes variados de artículos para fabricar joyas;Level 4;10001719;10001719
Artículos para fabricar juguetes/labores de costura;Level 3;70010400;70010400
Materiales de manualidades de espuma;Level 4;10005713;10005713
Encajes/cintas/cordones/galones;Level 4;10001700;10001700
Accesorios para costura;Level 4;10001714;10001714
Telas/tejidos para costura;Level 4;10001699;10001699
Sistemas de cierre para costura;Level 4;10001710;10001710
Herramientas mecánicas/manuales para costura;Level 4;10001702;10001702
Equipo para marcar costuras;Level 4;10001705;10001705
Almacenamiento de costura;Level 4;10001712;10001712
Plantillas para costura;Level 4;10001713;10001713
Hilos para costura;Level 4;10001701;10001701
Otros artículos para hacer jueguetes/costura;Level 4;10001716;10001716
Paquetes variados de artículos para hacer jueguetes/costura;Level 4;10001715;10001715
Maquinaria para tejer/coser (no eléctrica);Level 4;10001706;10001706
Maquinaria para tejer/coser (eléctrica);Level 4;10001707;10001707
Acceorios para hacer jueguetes;Level 4;10001711;10001711
Artículos para fabricar tarjetas/papel;Level 3;70010700;70010700
Herrmientas para realizar artículos de papel (no eléctricas);Level 4;10001726;10001726
Otros artículos de papel/cartulina;Level 4;10001730;10001730
Paquetes variados de artículos para realizar artículos de cartulina/papel;Level 4;10001729;10001729
Accesorios para realizar artículos de cartulina/papel;Level 4;10001727;10001727
Artículos para impresión;Level 3;70011100;70011100
Otros artículos para trabajos de impresión;Level 4;10001753;10001753
Paquetes variados de artículos para trabajos de impresión;Level 4;10001752;10001752
Herramientas para trabajos de impresión;Level 4;10001748;10001748
Prensas para imprimir (no eléctricas);Level 4;10001750;10001750
Prensas para imprimir (eléctricas);Level 4;10001749;10001749
Artículos para alfarería/escultores;Level 3;70010300;70010300
Hornos (eléctricos);Level 4;10001694;10001694
Ruedas para alfarería (no eléctricas);Level 4;10001696;10001696
Ruedas para alfarería (eléctricas);Level 4;10001695;10001695
Herramientas para escultores (no eléctricas);Level 4;10001692;10001692
Herramientas para escultores (eléctricas);Level 4;10001693;10001693
Materiales de alferería/escultores;Level 4;10001691;10001691
Otros artículos de alferería/escultores;Level 4;10001698;10001698
Paquetes variados de artículos de alferería/escultores;Level 4;10001697;10001697
Artículos para tejer/hilar;Level 3;70011200;70011200
Trabajos de telares/hilados – Accesorios/recambios;Level 4;10001757;10001757
Otros artículos para trabajos de telares/hilados;Level 4;10001758;10001758
Paquetes variados de artículos para trabajos de telares/hilados;Level 4;10001759;10001759
Hilos/fibras para telares/hilados;Level 4;10001756;10001756
Máquinas para hilar/telares (no eléctricas);Level 4;10001755;10001755
Máquinas para hilar/telares (eléctricas);Level 4;10001754;10001754
Artículos para grabado/pirograbado en madera;Level 3;70011000;70011000
Trabajos de tallado/grabado de madera – Accesorios/recambios;Level 4;10001744;10001744
Otros artículos de trabajos de tallado/grabado de madera;Level 4;10001746;10001746
Herramientas de tallado/grabado de madera (eléctricas);Level 4;10001743;10001743
Herramientas de tallado/grabado de madera (eléctricas);Level 4;10001742;10001742
Audiovisual/fotografía;Level 1;68000000;68000000
Equipos audiovisuales;Level 2;68010000;68010000
Accesorios audiovisuales;Level 3;68010700;68010700
Conversores analógicos/digitales;Level 4;10005726;10005726
Auriculares;Level 4;10001467;10001467
Accesorios audivisuales – Recambios;Level 4;10001483;10001483
Otros accesorios audiovisuales;Level 4;10001484;10001484
Paquetes variados de accesorios audiovisuales;Level 4;10001482;10001482
Bolsas/cajas/estuches/carteras audiovisuales;Level 4;10001478;10001478
Productos de limpieza para equipos audiovisuales;Level 4;10001480;10001480
Sistemas de etiquetación de sistemas audiovisuales;Level 4;10005744;10005744
Escuadras/soportes para sistemas audiovisuales;Level 4;10001477;10001477
Convertidor de cintas;Level 4;10001475;10001475
Megáfonos;Level 4;10005204;10005204
Micrófonos;Level 4;10001476;10001476
Estaciones de conexión para MP3;Level 4;10005747;10005747
Repetidores de señal;Level 4;10001468;10001468
Efectos de luces activados por sonido;Level 4;10005809;10005809
Cajas del interruptor;Level 4;10001472;10001472
Paquetes de Internet y televisión;Level 4;10001479;10001479
Mandos a distancia universales;Level 4;10001470;10001470
Silenciadores/amortiguadores de vibraciones;Level 4;10005746;10005746
Amplificadores de distribución visual;Level 4;10005735;10005735
Enlaces inalámbricos de televisión;Level 4;10001469;10001469
Paquetes variados de equipos audiovisuales;Level 3;68010800;68010800
Paquetes variados de equipos audiovisuales;Level 4;10001485;10001485
Equipo de audio doméstico;Level 3;68010400;68010400
Amplificadores/preamplificadores domésticos de audio;Level 4;10001429;10001429
Pletinas de cintas de audio domésticas;Level 4;10001432;10001432
Pletinas de CD de audio domésticas;Level 4;10001433;10001433
Equipo doméstico de efectos de audio;Level 4;10001443;10001443
Equipo doméstico de audio – Accesorios/recambios;Level 4;10001447;10001447
Otros equipos domésticos de audio;Level 4;10001448;10001448
Paquetes variados de equipos domésticos de audio;Level 4;10001446;10001446
Gramola doméstica;Level 4;10001440;10001440
Equipo de karaoke doméstico;Level 4;10001441;10001441
Pletinas de MD de audio domésticas;Level 4;10001434;10001434
Radios/sintonizadores/receptores de audio domésticos;Level 4;10001437;10001437
Equipo de altavoces domésticos;Level 4;10001436;10001436
Altavoces domésticos – Individuales;Level 4;10001435;10001435
Mezcladores domésticos audiovisuales;Level 4;10001442;10001442
Equipo estéreo doméstico;Level 4;10001430;10001430
Equipo de cine doméstico;Level 4;10001431;10001431
Plataforma giratoria – CD;Level 4;10001444;10001444
Plataforma giratoria – Vinilo;Level 4;10001439;10001439
Artículos portátiles de vídeo/audio;Level 3;68010300;68010300
Radiodespertadores;Level 4;10001424;10001424
Grabadoras;Level 4;10001425;10001425
Reproductores portátiles de cintas de audio;Level 4;10001419;10001419
Artículos portátiles de vídeo/audio – Accesorios/recambios;Level 4;10001427;10001427
Otros artículos portátiles de vídeo/audio;Level 4;10001428;10001428
Paquetes variados de artículos portátiles de vídeo/audio;Level 4;10001426;10001426
Reproductores protátiles de CD;Level 4;10001416;10001416
Reproductores portátiles de vídeo digital;Level 4;10001421;10001421
Reproductores portátiles de DVD;Level 4;10001420;10001420
Transmisores FM (Modulación de frecuencia) portátiles;Level 4;10005765;10005765
Reproductores portátiles de MD;Level 4;10001417;10001417
Reproductores portátiles de MP3;Level 4;10001418;10001418
Sistemas de música portátiles PA (dirección pública);Level 4;10005807;10005807
Radios portátiles con grabadoras;Level 4;10001423;10001423
Radios portátiles;Level 4;10001422;10001422
Altavoces portátiles;Level 4;10005710;10005710
Televisores;Level 3;68010100;68010100
Combinaciones de televisores;Level 4;10001401;10001401
Televisores;Level 4;10001400;10001400
Televisores – De mano;Level 4;10001402;10001402
Televisores – Accesorios/recambios;Level 4;10001404;10001404
Otros televisores;Level 4;10001405;10001405
Paquetes variados de televisores;Level 4;10001403;10001403
Recepción/instalación de vídeo;Level 3;68010900;68010900
Antenas;Level 4;10001411;10001411
Receptores visuales/de audio;Level 4;10005841;10005841
Conversores en bloque de baja figura de ruido (LNB);Level 4;10005736;10005736
Accesorios para la recepción del sistema de satélite;Level 4;10005760;10005760
Sistemas de antena terrestres/parabólicas;Level 4;10005829;10005829
Aparatos con convertidor y descodificador integrados;Level 4;10001409;10001409
Accesorios para sistemas de recepción/instalación de vídeo;Level 4;10005738;10005738
Paquetes variados de sistemas de recepción/instalación de vídeo;Level 4;10005739;10005739
Reproducción/grabación de vídeo;Level 3;68010200;68010200
Audiogramas;Level 4;10005808;10005808
Videocámaras;Level 4;10001406;10001406
Combinación de grabador/reproductor;Level 4;10001408;10001408
Grabadoras/reproductores de DVD;Level 4;10001407;10001407
Grabadores de tarjetas de memoria;Level 4;10005748;10005748
Grabadoras/reproductores de vídeo;Level 4;10001412;10001412
Videograbadora con disco duro;Level 4;10001410;10001410
Grabación/reproducción de vídeo – Accesorios/recambios;Level 4;10001414;10001414
Paquetes variados de grabación/reproducción de vídeo;Level 4;10001413;10001413
Medios de comunicación audiovisual;Level 2;68040000;68040000
Productos multimedia o productos digitales pregrabados;Level 3;68040100;68040100
Audio (no música) – Digital;Level 4;10006240;10006240
Cintas de audio – Pregrabadas;Level 4;10001464;10001464
CD/MD – Pregrabados;Level 4;10001459;10001459
Discos duales – Pregrabados;Level 4;10003718;10003718
DVD – Pregrabados;Level 4;10001460;10001460
Gráficos – Digital;Level 4;10006245;10006245
Películas – Digital;Level 4;10006241;10006241
Música – Digital;Level 4;10006239;10006239
Otros productos multimedia pregrabados;Level 4;10001466;10001466
Paquetes variados de productos multimedia pregrabados;Level 4;10001465;10001465
Tonos teléfonicos – Digital;Level 4;10006243;10006243
Espectáculo de televisión – Digital;Level 4;10006244;10006244
Video (no películas) – Digital;Level 4;10006242;10006242
Cintas de vídeo – Pregrabadas;Level 4;10001463;10001463
Vinilo – Pregrabados;Level 4;10001462;10001462
Productos multimedia grabables;Level 3;68040200;68040200
Cintas de audio – Grabables;Level 4;10001449;10001449
CD/MD – Grabables;Level 4;10001450;10001450
DVD – Grabables;Level 4;10001451;10001451
Discos flexibles;Level 4;10001456;10001456
Tarjetas de memoria;Level 4;10001452;10001452
Otros productos multimedia grabables;Level 4;10001458;10001458
Paquetes variados de productos multimedia grabables;Level 4;10001457;10001457
Memorias USB;Level 4;10006398;10006398
Cintas de vídeo – Grabables;Level 4;10001455;10001455
Paquetes variados de audiovisual/fotografía;Level 2;68050000;68050000
Paquetes variados de audiovisual/fotografía;Level 3;68050100;68050100
Paquetes variados de audiovisual/fotografía;Level 4;10003777;10003777
Productos electrónicos para el coche;Level 2;68030000;68030000
Audio para coches;Level 3;68030200;68030200
Equipos de audio para coches – Accesorios/recambios;Level 4;10001533;10001533
Antenas de audio para coches;Level 4;10001531;10001531
Amplificadores para coches;Level 4;10001530;10001530
