,ID GS1,Clacom,Nombre Clacom,Nombre GS1,
,,3,TERMINACIONES,,
,,313,BANOS Y COCINAS,,
,,31303,ACCESORIOS BANO FIJO,,
,,3130303,ACCESORIOS CERAMICOS,,
,10004033,313030301,ACCESORIOS CERAMICOS TOALLERO ARGOLLA, Toalleros en barra/aros – Fijos,
,10004033,313030302,ACCESORIOS CERAMICOS TOALLERO BARRA, Toalleros en barra/aros – Fijos,
,10006961,313030303,ACCESORIOS CERAMICOSPORTAROLLO, Accesorios de baño,
,10006962,313030304,ACCESORIOS CERAMICOS PORTACEPILLO, Accesorios para lavamanos,
,10006962,313030305,ACCESORIOS CERAMICOS PORTAJABON, Accesorios para lavamanos,
,10004033,313030306,ACCESORIOS CERAMICOS GANCHO, Toalleros en barra/aros – Fijos,
,10004032,313030307,ACCESORIOS CERAMICOS REPISA, Carritos de bañera/ducha – Fijos,
,10002627,313030308,ACCESORIOS CERAMICOS KIT, Paquetes variados de accesorios de baño,
,10006961,313030309,OTROS ACCESORIOS, Accesorios de baño,
,,3130301,SEGURIDAD,,
,10004028,313030101,BARRAS DE SEGURIDAD, Asideros de agarre,
,10004027,313030102,ASIENTOS PARA TINA Y DUCHA/REGADERA, Asientos para bañeras,
,10005628,313030103,PISOS ANTIDESLIZANTES, Productos antideslizantes (hágalo usted mismo),
,10006961,313030104,OTROS ACCESORIOS, Accesorios de baño,
,,3130302,ACCESORIOS PLASTICOS,,
,10004033,313030201,ACCESORIOS PLASTICOS TOALLERO ARGOLLA, Toalleros en barra/aros – Fijos,
,10004033,313030202,ACCESORIOS PLASTICOS TOALLERO BARRA, Toalleros en barra/aros – Fijos,
,10006961,313030203,ACCESORIOS PLASTICOS PORTAROLLO, Accesorios de baño,
,10006962,313030204,ACCESORIOS PLASTICOS PORTACEPILLO, Accesorios para lavamanos,
,10006962,313030205,ACCESORIOS PLASTICOS PORTAJABON, Accesorios para lavamanos,
,10004033,313030206,ACCESORIOS PLASTICOS GANCHO, Toalleros en barra/aros – Fijos,
,10004032,313030207,ACCESORIOS PLASTICOS REPISA, Carritos de bañera/ducha – Fijos,
,10002627,313030208,ACCESORIOS PLASTICOS KIT, Paquetes variados de accesorios de baño,
,10006961,313030209,OTROS ACCESORIOS, Accesorios de baño,
,,3130304,ACCESORIOS MADERA,,
,10004033,313030401,ACCESORIOS MADERA TOALLERO ARGOLLA, Toalleros en barra/aros – Fijos,
,10004033,313030402,ACCESORIOS MADERA TOALLERO BARRA, Toalleros en barra/aros – Fijos,
,10006961,313030403,ACCESORIOS MADERA PORTAROLLO, Accesorios de baño,
,10006962,313030404,ACCESORIOS MADERA PORTACEPILLO, Accesorios para lavamanos,
,10006962,313030405,ACCESORIOS MADERA PORTAJABON, Accesorios para lavamanos,
,10004033,313030406,ACCESORIOS MADERA GANCHO, Toalleros en barra/aros – Fijos,
,10004032,313030407,ACCESORIOS MADERA REPISA, Carritos de bañera/ducha – Fijos,
,10002627,313030408,ACCESORIOS MADERA KIT, Paquetes variados de accesorios de baño,
